time="2024-05-09T02:24:45.641" level=info msg="Starting kbench..."
time="2024-05-09T02:24:45.646" level=info msg="Created a new Pod manager."
time="2024-05-09T02:24:45.666" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-05-09T02:26:33.046" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:36.216" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:36.216" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:36.216" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:39.374" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:39.374" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:39.374" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:42.549" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:42.550" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:42.550" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:45.750" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:45.750" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:45.750" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:48.898" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:48.898" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:48.898" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:52.025" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:52.025" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:52.025" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:55.157" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:55.157" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:55.157" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:58.306" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:58.306" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:58.306" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:01.426" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:01.426" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:01.426" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:04.608" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:04.608" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:04.608" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:07.753" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:07.753" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:07.753" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:10.924" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:10.924" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:10.924" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:14.067" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:14.068" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:14.068" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:17.261" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:17.261" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:17.261" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:20.393" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:20.393" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:20.393" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:23.576" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:23.576" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:23.576" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:26.719" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:26.719" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:26.719" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:29.878" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:29.878" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:29.878" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:33.006" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:33.006" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:33.006" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:36.179" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:36.179" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:36.179" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:39.362" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:39.362" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:39.362" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:42.506" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:42.506" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:42.506" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:45.678" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:45.678" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:45.678" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:48.846" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:48.846" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:48.846" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:52.029" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:52.029" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:52.029" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:55.205" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:55.205" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:55.205" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:27:58.393" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:27:58.393" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:27:58.393" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:01.533" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:01.533" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:01.533" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:04.687" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:04.687" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:04.687" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:07.868" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:07.868" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:07.868" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:11.034" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:11.034" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:11.034" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:14.182" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:14.182" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:14.182" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:17.354" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:17.354" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:17.354" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:20.537" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:20.537" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:20.537" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:23.713" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:23.713" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:23.713" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:26.897" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:26.897" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:26.897" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:30.064" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:30.064" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:30.064" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:33.259" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:33.259" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:33.260" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:36.395" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:36.395" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:36.395" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:39.534" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:39.534" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:39.534" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:42.671" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:42.671" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:42.671" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:45.851" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:45.851" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:45.851" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:49.033" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:49.033" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:49.033" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:52.208" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:52.208" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:52.208" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:55.355" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:55.355" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:55.355" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:28:58.532" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:28:58.533" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:28:58.533" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:01.664" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:01.664" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:01.664" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:04.824" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:04.824" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:04.824" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:07.969" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:07.969" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:07.969" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:11.130" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:11.130" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:11.130" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:14.276" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:14.276" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:14.276" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:17.428" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:17.429" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:17.429" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:20.589" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:20.589" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:20.589" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:23.767" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:23.768" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:23.768" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:26.918" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:26.918" level=warning msg="Command predicate not passed, output does not contain specified string"
