time="2024-05-08T16:47:30.763" level=info msg="Starting kbench..."
time="2024-05-08T16:47:30.770" level=info msg="Created a new Pod manager."
time="2024-05-08T16:47:30.797" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-05-08T16:49:36.282" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:36.282" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:39.414" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:39.415" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:39.415" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:42.555" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:42.555" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:42.556" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:45.714" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:45.714" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:45.714" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:48.858" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:48.858" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:48.858" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:51.995" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:51.995" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:51.995" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:55.138" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:55.138" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:55.138" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:58.279" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:58.279" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:58.279" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:01.348" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:01.348" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:01.348" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:04.486" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:04.486" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:04.487" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:07.623" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:07.623" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:07.623" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:10.764" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:10.764" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:10.764" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:13.902" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:13.902" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:13.902" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:17.048" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:17.048" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:17.048" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:20.191" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:20.191" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:20.191" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:23.335" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:23.335" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:23.335" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:26.479" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:26.479" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:26.479" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:29.617" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:29.617" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:29.617" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:32.728" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:32.728" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:32.728" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:35.863" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:35.863" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:35.863" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:38.975" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:38.975" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:38.975" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:42.118" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:42.118" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:42.118" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:45.247" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:45.247" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:45.247" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:48.395" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:48.395" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:48.395" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:51.534" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:51.534" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:51.534" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:54.690" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:54.690" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:54.690" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:50:57.843" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:50:57.843" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:50:57.843" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:00.975" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:00.975" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:00.975" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:04.103" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:04.103" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:04.103" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:07.251" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:07.251" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:07.251" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:10.366" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:10.366" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:10.366" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:13.499" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:13.499" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:13.499" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:16.634" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:16.634" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:16.634" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:19.777" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:19.777" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:19.777" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:22.899" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:22.899" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:22.899" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:26.025" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:26.025" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:26.025" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:29.150" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:29.150" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:29.150" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:32.277" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:32.277" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:32.277" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:35.407" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:35.407" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:35.407" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:38.534" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:38.534" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:38.534" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:41.662" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:41.662" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:41.662" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:44.806" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:44.806" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:44.806" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:47.945" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:47.945" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:47.945" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:51.099" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:51.099" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:51.099" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:54.222" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:54.222" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:54.222" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:51:57.351" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:51:57.351" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:51:57.351" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:52:00.491" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:52:00.491" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:52:00.491" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:52:03.626" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:52:03.626" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:52:03.626" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:52:06.758" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:52:06.758" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:52:06.758" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:52:09.902" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:52:09.902" level=warning msg="Command predicate not passed, output does not contain specified string"
